subjectID,IndexImprovement,indexStart,age
64545,15.09743,81.34146,12.19321
65083,16.65108,71.71558,11.72757
67095,61,90.85475,12.10799
67096,24.18286,78.75204,12.60902
67099,18.2385,102.1131,12.60902
67101,50.2122,82.4673,12.77602
67614,0.60795,74.11361,15.12511
67615,25.54516,97.20444,14.79382
67619,14.55706,92.31834,14.8787
68591,13.49873,90.87727,14.31218
70553,22.9107,73.34805,11.46178
71510,21.55972,71.20895,11.41523
73054,12.38418,96.07862,13.56732
73063,19.75839,72.6275,13.73706
73066,21.70608,87.16202,13.90407
73068,16.96634,98.57796,14.07108
73527,21.84119,99.24221,14.11185
73532,16.07693,86.01367,14.02698
73535,14.68083,90.47197,13.60809
